"countries","artist","artist_genres","tracks.track.name","artist_id","tracks.track.id","tracks.track.popularity","danceability","energy","key","loudness","speechiness","acousticness","liveness","valence","tempo"
"austria","Maneskin","indie","SUPERMODEL","0lAWpj5szCSwM4rUMHYmrr","63WuQOXohQIxOxIFA2K7bR",84,0.636,0.876,7,-3.413,0.0555,0.00164,0.117,0.799,120.983
"austria","Domiziana","other","Ohne Benzin - 1,1x Speed Version","3XZewrXpRQqqCMuUMAIhvN","2MrKx1k7CSLryCP1sf3cwl",67,0.685,0.758,10,-5.96,0.0814,0.0358,0.364,0.619,146.907
"austria","Taylor Swift","pop","Don’t Blame Me","06HL4z0CvFAxyc27GXpf02","1R0a2iXumgCiFb7HEZ7gUE",83,0.615,0.534,9,-6.719,0.0386,0.106,0.0607,0.193,135.917
"austria","GAYLE","pop","abcdefu","2VSHKHBTiXWplO8lxcnUC9","4fouWK6XVHhzl78KzQ1UjL",91,0.695,0.54,4,-5.692,0.0493,0.299,0.367,0.415,121.932
"austria","Öwnboss","edm","Move Your Body","37czgDRfGMvgRiUKHvnnhj","6GomT970rCOkKAyyrwJeZi",83,0.848,0.821,2,-5.408,0.0527,0.0169,0.0962,0.249,125.051
"austria","OneRepublic","pop","Sunshine","5Pwc4xIPtQLFEnJriah9YJ","5r43qanLhUCdBj8HN3fa6B",82,0.697,0.875,5,-4.621,0.034,0.137,0.28,0.774,140.069
"austria","RAF Camora","hip hop","Vergesse nie die Street","0Dvx6p8JDyzeOPGmaCIH1L","3ZDXLSUZpKx8pspNBOdVr5",69,0.778,0.695,8,-5.984,0.0451,0.328,0.13,0.756,144.074
"austria","Jason Derulo","pop","Acapulco","07YZf4WDAMNwqr4jfgOZ8y","3eJH2nAjvNXdmPfBkALiPZ",82,0.774,0.792,10,-4.021,0.0523,0.051,0.155,0.507,122.062
"austria","The Ironix","other","COACHELLA","47PlThLkeouzT58n1Urjdm","3gyRaifTaAoQrwtYiQu9ur",66,0.882,0.751,0,-4.837,0.0922,0.0506,0.104,0.638,130.015
"austria","DJ Robin","partyschlager","Layla","06VwNCd4PPAxBuxheaf5bz","3QY5JrK6MU3ebwlvQ0iniO",72,0.443,0.923,5,-2.924,0.0694,0.0013,0.438,0.409,140.08
"austria","Imagine Dragons","other","Enemy (with JID) - from the series Arcane League of Legends","53XhwfbYqKCa1cC15pYq2q","1HhNoOuqm1a5MXYEgAFl8o",83,0.728,0.783,11,-4.424,0.266,0.237,0.434,0.555,77.011
"austria","t-low","hip hop","Crashen","3tQzzidoPfVifoURnDfgmD","5STeQZH1Ahz3h0X9Njaij7",73,0.649,0.733,11,-8.462,0.3,0.0679,0.122,0.498,150.874
"austria","The Kid LAROI","hip hop","STAY (with Justin Bieber)","2tIP7SsRs7vjIcLrU85W8J","5PjdY0CKGZdEuoNab3yDmX",87,0.591,0.764,1,-5.484,0.0483,0.0383,0.103,0.478,169.928
"austria","Lil Nas X","hip hop","THATS WHAT I WANT","7jVv8c5Fj3E9VhNjxT4snq","0e8nrvls4Qqv5Rfa2UhqmO",90,0.737,0.846,1,-4.51,0.22,0.00614,0.0486,0.546,87.981
